year,city,country,avg_temp
1791,Alexandria,Egypt,22.60
1792,Alexandria,Egypt,20.17
1793,Alexandria,Egypt,19.94
1794,Alexandria,Egypt,20.31
1795,Alexandria,Egypt,20.22
1796,Alexandria,Egypt,20.39
1797,Alexandria,Egypt,20.48
1798,Alexandria,Egypt,20.67
1799,Alexandria,Egypt,20.66
1800,Alexandria,Egypt,20.52
1801,Alexandria,Egypt,20.83
1802,Alexandria,Egypt,20.94
1803,Alexandria,Egypt,20.94
1804,Alexandria,Egypt,20.70
1805,Alexandria,Egypt,20.35
1806,Alexandria,Egypt,20.40
1807,Alexandria,Egypt,20.36
1808,Alexandria,Egypt,19.69
1809,Alexandria,Egypt,19.03
1810,Alexandria,Egypt,19.12
1811,Alexandria,Egypt,19.19
1812,Alexandria,Egypt,19.02
1813,Alexandria,Egypt,19.55
1814,Alexandria,Egypt,19.50
1815,Alexandria,Egypt,19.39
1816,Alexandria,Egypt,18.91
1817,Alexandria,Egypt,19.08
1818,Alexandria,Egypt,19.90
1819,Alexandria,Egypt,19.44
1820,Alexandria,Egypt,19.73
1821,Alexandria,Egypt,19.69
1822,Alexandria,Egypt,19.80
1823,Alexandria,Egypt,19.82
1824,Alexandria,Egypt,20.52
1825,Alexandria,Egypt,20.03
1826,Alexandria,Egypt,19.96
1827,Alexandria,Egypt,20.70
1828,Alexandria,Egypt,20.08
1829,Alexandria,Egypt,19.98
1830,Alexandria,Egypt,20.32
1831,Alexandria,Egypt,19.61
1832,Alexandria,Egypt,19.23
1833,Alexandria,Egypt,19.89
1834,Alexandria,Egypt,19.74
1835,Alexandria,Egypt,19.23
1836,Alexandria,Egypt,19.67
1837,Alexandria,Egypt,19.29
1838,Alexandria,Egypt,19.30
1839,Alexandria,Egypt,19.52
1840,Alexandria,Egypt,19.65
1841,Alexandria,Egypt,20.08
1842,Alexandria,Egypt,19.92
1843,Alexandria,Egypt,19.91
1844,Alexandria,Egypt,19.77
1845,Alexandria,Egypt,20.05
1846,Alexandria,Egypt,20.67
1847,Alexandria,Egypt,20.17
1848,Alexandria,Egypt,20.00
1849,Alexandria,Egypt,20.00
1850,Alexandria,Egypt,19.45
1851,Alexandria,Egypt,20.21
