year,g_avg_temp,alex_avg_temp
1791,8.23,22.60
1792,8.09,20.17
1793,8.23,19.94
1794,8.53,20.31
1795,8.35,20.22
1796,8.27,20.39
1797,8.51,20.48
1798,8.67,20.67
1799,8.51,20.66
1800,8.48,20.52
1801,8.59,20.83
1802,8.58,20.94
1803,8.50,20.94
1804,8.84,20.70
1805,8.56,20.35
1806,8.43,20.40
1807,8.28,20.36
1808,7.63,19.69
1809,7.08,19.03
1810,6.92,19.12
1811,6.86,19.19
1812,7.05,19.02
1813,7.74,19.55
1814,7.59,19.50
1815,7.24,19.39
1816,6.94,18.91
1817,6.98,19.08
1818,7.83,19.90
1819,7.37,19.44
1820,7.62,19.73
1821,8.09,19.69
1822,8.19,19.80
1823,7.72,19.82
1824,8.55,20.52
1825,8.39,20.03
1826,8.36,19.96
1827,8.81,20.70
1828,8.17,20.08
1829,7.94,19.98
1830,8.52,20.32
1831,7.64,19.61
1832,7.45,19.23
1833,8.01,19.89
1834,8.15,19.74
1835,7.39,19.23
1836,7.70,19.67
1837,7.38,19.29
1838,7.51,19.30
1839,7.63,19.52
1840,7.80,19.65
1841,7.69,20.08
1842,8.02,19.92
1843,8.17,19.91
1844,7.65,19.77
1845,7.85,20.05
1846,8.55,20.67
1847,8.09,20.17
1848,7.98,20.00
1849,7.98,20.00
1850,7.90,19.45
1851,8.18,20.21
1852,8.10,20.13
1853,8.04,20.75
1854,8.21,19.75
1855,8.11,20.18
1856,8.00,19.61
1857,7.76,19.33
1858,8.10,19.88
1859,8.25,20.04
1860,7.96,20.49
1861,7.85,19.39
1862,7.56,19.43
1863,8.11,19.80
1864,7.98,20.29
1865,8.18,20.59
1866,8.29,20.43
1867,8.44,20.41
1868,8.25,20.03
1869,8.43,20.55
1870,8.20,20.44
1871,8.12,20.05
1872,8.19,20.37
1873,8.35,20.56
1874,8.43,19.81
1875,7.86,19.13
1876,8.08,20.18
1877,8.54,20.36
1878,8.83,20.40
1879,8.17,20.56
1880,8.12,20.16
1881,8.27,20.45
1882,8.13,19.29
1883,7.98,19.78
1884,7.77,19.34
1885,7.92,20.12
1886,7.95,19.76
1887,7.91,20.34
1888,8.09,20.04
1889,8.32,20.10
1890,7.97,20.11
1891,8.02,20.09
1892,8.07,20.42
1893,8.06,19.66
1894,8.16,19.99
1895,8.15,20.14
1896,8.21,20.17
1897,8.29,19.85
1898,8.18,20.13
1899,8.40,20.18
1900,8.50,20.73
1901,8.54,20.89
1902,8.30,20.41
1903,8.22,19.59
1904,8.09,19.78
1905,8.23,19.90
1906,8.38,20.15
1907,7.95,19.47
1908,8.19,19.40
1909,8.18,20.40
1910,8.22,19.62
1911,8.18,19.73
1912,8.17,19.89
1913,8.30,19.65
1914,8.59,19.92
1915,8.59,20.64
1916,8.23,20.86
1917,8.02,20.25
1918,8.13,20.58
1919,8.38,20.38
1920,8.36,19.92
1921,8.57,19.97
1922,8.41,20.61
1923,8.42,20.66
1924,8.51,20.82
1925,8.53,20.48
1926,8.73,20.47
1927,8.52,20.96
1928,8.63,20.80
1929,8.24,20.21
1930,8.63,20.81
1931,8.72,20.69
1932,8.71,20.55
1933,8.34,20.07
1934,8.63,20.53
1935,8.52,20.68
1936,8.55,20.94
1937,8.70,20.96
1938,8.86,20.12
1939,8.76,20.95
1940,8.76,20.56
1941,8.77,20.88
1942,8.73,20.61
1943,8.76,20.59
1944,8.85,20.48
1945,8.58,20.12
1946,8.68,20.89
1947,8.80,21.04
1948,8.75,19.96
1949,8.59,19.71
1950,8.37,20.57
1951,8.63,20.83
1952,8.64,20.84
1953,8.87,20.11
1954,8.56,20.43
1955,8.63,21.23
1956,8.28,20.45
1957,8.73,20.56
1958,8.77,20.92
1959,8.73,20.11
1960,8.58,21.37
1961,8.80,20.35
1962,8.75,21.13
1963,8.86,21.10
1964,8.41,20.22
1965,8.53,20.52
1966,8.60,21.08
1967,8.70,20.11
1968,8.52,20.63
1969,8.60,20.75
1970,8.70,20.64
1971,8.60,20.51
1972,8.50,20.70
1973,8.95,20.54
1974,8.47,20.55
1975,8.74,20.45
1976,8.35,20.22
1977,8.85,20.64
1978,8.69,20.61
1979,8.73,21.07
1980,8.98,20.44
1981,9.17,20.60
1982,8.64,20.16
1983,9.03,19.87
1984,8.69,20.51
1985,8.66,20.84
1986,8.83,20.59
1987,8.99,20.21
1988,9.20,20.63
1989,8.92,20.46
1990,9.23,20.73
1991,9.18,20.64
1992,8.84,20.09
1993,8.87,20.74
1994,9.04,21.10
1995,9.35,20.62
1996,9.04,20.85
1997,9.20,20.52
1998,9.52,21.29
1999,9.29,21.46
2000,9.20,20.74
2001,9.41,21.45
2002,9.57,21.46
2003,9.53,21.22
2004,9.32,21.06
2005,9.70,21.08
2006,9.53,21.15
2007,9.73,21.51
2008,9.43,21.74
2009,9.51,21.67
2010,9.70,22.46
2011,9.52,21.18
2012,9.51,21.55
2013,9.61,21.44
